product_id,title,rating,initial_price,discount,final_price,seller_name,category,discount_amount,total_amount
18981160,Amydus,4.7,2799,0.0,2799.0,BEG███01 ███EST██████,dresses,0.0,2799.0
18962952,Athena,4.2,2799,60.0,1119.0,Ape███ppa███s -██████,dresses,1680.0,1119.0
15788324,Tokyo Talkies,4.2,1399,53.0,475.0,Vis███ St███,dresses,924.0,475.0
15691070,QUIERO,4.1,2820,65.0,987.0,Per███nkl███esi██████,dresses,1833.0,987.0
13770986,all about you,4.2,2999,0.0,2999.0,Unknown,dresses,0.0,2999.0
17592092,U&F,4.1,2899,74.0,753.0,SVP███XPO███ PR█████████ITE███,dresses,2146.0,753.0
17661682,Tokyo Talkies,4.1,1549,61.0,340.0,Vis███ St███,dresses,1209.0,340.0
17692718,Style Quotient,4.8,1599,69.0,495.0,Kri███n S███het█████████td,dresses,1104.0,495.0
17194598,Tokyo Talkies,4.3,1749,65.0,437.0,Vis███ St███,dresses,1312.0,437.0
17194592,Tokyo Talkies,4.1,1749,65.0,367.0,Vis███ St███,dresses,1382.0,367.0
18207478,Tokyo Talkies,4.1,699,60.0,279.0,Vis███ St███,dresses,420.0,279.0
18996672,Bella Moda,4.6,2017,70.0,605.0,SHI███TRA███S,dresses,1412.0,605.0
19213200,Label Ritu Kumar,4.8,5200,40.0,3120.0,REL███CE ███U K█████████ATE█████████,dresses,2080.0,3120.0
19987092,Vastralay,4.2,2999,78.0,659.0,ASH███ PR███S,dresses,2340.0,659.0
10054817,Veni Vidi Vici,4.3,1890,60.0,756.0,NYM███EA ███HIO█████████ PR███████████████,dresses,1134.0,756.0
10054855,Veni Vidi Vici,4.2,1890,60.0,756.0,NYM███EA ███HIO█████████ PR███████████████,dresses,1134.0,756.0
10691426,SASSAFRAS,4.5,2199,65.0,769.0,ARD███ Re███l C███,dresses,1430.0,769.0
18963006,Athena,4.3,2499,68.0,799.0,APE███PPA███S,dresses,1700.0,799.0
19513066,Stylecast X Hersheinbox,4.5,2559,54.0,2559.0,Unknown,dresses,0.0,2559.0
18975316,Berrylush,4.2,3200,74.0,640.0,Sup███om ███,dresses,2560.0,640.0
21242962,Tommy Hilfiger,4.4,5999,40.0,5699.0,Fla███ech███tai███,dresses,300.0,5699.0
21653646,ONLY,4.6,3299,60.0,1319.0,ONL███ETA███PVT██████,dresses,1980.0,1319.0
20022902,Slenor,4.4,3599,59.0,1475.0,Sle███ Ap███els███,dresses,2124.0,1475.0
20046216,YK Disney,5.0,999,67.0,329.0,CRO███OAD███LOT█████████LTD███,dresses,670.0,329.0
22590642,YU by Pantaloons,4.8,1499,52.0,719.0,Wes███ry ███din█████████d_P████████████,dresses,780.0,719.0
13572604,Tokyo Talkies,4.2,1799,63.0,1799.0,Unknown,dresses,0.0,1799.0
13649832,all about you,4.3,1999,0.0,1999.0,Unknown,dresses,0.0,1999.0
13387584,Wish Karo,4.1,1999,65.0,699.0,Kot███da ███est█████████Ltd███,dresses,1300.0,699.0
13558254,Tokyo Talkies,4.1,1349,59.0,1349.0,Unknown,dresses,0.0,1349.0
13406942,Global Desi,4.8,1799,75.0,449.0,OCH███AND███ACK█████████LIM██████,dresses,1350.0,449.0
1341220,Miss Chase,4.4,1149,10.0,689.0,CHA███LIF███YLE█████████,dresses,460.0,689.0
13387582,Wish Karo,4.7,2123,65.0,743.0,Kot███da ███est█████████Ltd███,dresses,1380.0,743.0
13391540,Mast & Harbour,4.1,1999,66.0,679.0,SWARR,dresses,1320.0,679.0
13435624,Deewa,4.1,2199,69.0,681.0,Sun███ne ███t W██████,dresses,1518.0,681.0
13382036,plusS,4.2,1899,83.0,322.0,Shi███Int███ati█████████rel███,dresses,1577.0,322.0
13449506,DOOR74,5.0,2399,70.0,719.0,JXP███S,dresses,1680.0,719.0
22590644,YU by Pantaloons,4.7,1399,54.0,643.0,Wes███ry ███din█████████d_P████████████,dresses,756.0,643.0
13398280,Zastraa,4.3,3299,70.0,989.0,MON███ CR███ION█████████,dresses,2310.0,989.0
22596522,Vero Moda,4.3,3799,65.0,1329.0,VER███ODA███TAI█████████,dresses,2470.0,1329.0
12356000,KLEIO,4.6,3499,55.0,3499.0,Unknown,duffel-bag,0.0,3499.0
21656682,Dupatta Bazaar,4.3,999,51.0,499.0,LAA███TEX███E P█████████,dupatta,500.0,499.0
22601210,Nimidiya,4.5,999,60.0,399.0,PRE███TI ███LEC██████,dupatta,600.0,399.0
20195790,Dupatta Bazaar,4.7,999,48.0,999.0,Unknown,dupatta,0.0,999.0
12999996,Vishudh,4.6,599,62.0,227.0,Fla███tar███mme██████,dupatta,372.0,227.0
15713414,Crunchy Fashion,4.2,1998,68.0,639.0,Cru███y F███ion█████████,earrings,1359.0,639.0
15750524,Priyaasi,4.4,7999,74.0,2079.0,PRI███DES███S P█████████MIT███,earrings,5920.0,2079.0
15014966,Priyaasi,4.9,3949,76.0,947.0,PRI███DES███S P█████████MIT███,earrings,3002.0,947.0
10564232,PRITA BY PRIYAASI,4.3,1130,69.0,350.0,PRI███DES███S P█████████MIT███,earrings,780.0,350.0
10135431,Priyaasi,4.5,1000,50.0,500.0,PRI███DES███S P█████████MIT███,earrings,500.0,500.0
10125225,KARATCART,4.1,1568,73.0,423.0,KOK███V G███AL █████████,earrings,1145.0,423.0
10125241,KARATCART,4.2,1711,82.0,307.0,KOK███V G███AL █████████,earrings,1404.0,307.0
19925208,Yellow Chimes,4.1,774,44.0,433.0,MER███I F███S A█████████ION██████████████████,earrings,341.0,433.0
20041906,KARATCART,4.3,1730,65.0,605.0,KOK███V G███AL █████████,earrings,1125.0,605.0
22601952,SOHI,4.5,1455,76.0,349.0,Bil███nka███Pri█████████ted███,earrings,1106.0,349.0
22618882,Saraf RS Jewellery,4.2,3795,77.0,872.0,HB ███DER███RIV█████████ED,earrings,2923.0,872.0
14467848,GIVA,4.4,2799,50.0,1399.0,Ind███ewe███ash█████████ Lt███,earrings,1400.0,1399.0
14399558,Shoshaa,4.6,2488,72.0,696.0,SHO███A D███GNS██████,earrings,1792.0,696.0
19072820,FemNmas,4.4,249,0.0,249.0,FEM███MAS███,earrings,0.0,249.0
13402874,Crunchy Fashion,4.2,1575,78.0,346.0,Cru███y F███ion█████████,earrings,1229.0,346.0
13340876,Kord Store,4.4,4524,88.0,542.0,Kor███yst███,earrings,3982.0,542.0
12930744,ANIKAS CREATION,4.4,1075,55.0,483.0,Jai███i J███lle███,earrings,592.0,483.0
21990058,Rustorange,5.0,3299,55.0,1484.0,Zak███i I███tec█████████ Li██████,ethnic-dresses,1815.0,1484.0
21992820,PANIT,4.4,7999,71.0,2319.0,R.U███NGH███D G█████████PPA█████████████████████,ethnic-dresses,5680.0,2319.0
15741088,Ashnaina,4.1,1799,67.0,593.0,WWC███ON ███LER███,ethnic-dresses,1206.0,593.0
15788632,AURELIA,4.2,2499,44.0,1380.0,Esh███ox ███mme█████████td,ethnic-dresses,1119.0,1380.0
15749780,W,4.3,3999,60.0,1599.0,Fla███ech███tai███,ethnic-dresses,2400.0,1599.0
19990734,VASTRAMAY,4.7,2499,61.0,974.0,Vas███may███t. ██████,ethnic-dresses,1525.0,974.0
13404948,YASH GALLERY,4.1,3899,76.0,935.0,Yas███all███ Pr█████████ite███,ethnic-dresses,2964.0,935.0
13355452,Rangriti,4.4,1299,35.0,1299.0,Sup███om ███,ethnic-dresses,0.0,1299.0
15787112,Mamaearth,4.3,319,12.0,280.0,Hon███ Co███mer█████████Lim██████,face-moisturisers,39.0,280.0
12926546,natural vibes,4.8,449,5.0,426.0,TRA███LA ███OM █████████,face-wash-and-cleanser,23.0,426.0
16704788,Birkenstock,4.5,4990,0.0,4990.0,Net███str███tio█████████s P█████████,flats,0.0,4990.0
21735080,Birkenstock,4.5,6990,0.0,6990.0,Net███str███tio█████████s P█████████,flats,0.0,6990.0
21735014,Birkenstock,4.8,9490,0.0,9490.0,Net███str███tio█████████s P█████████,flats,0.0,9490.0
13596626,Anouk,4.3,2299,0.0,2299.0,Unknown,flats,0.0,2299.0
21205620,Tommy Hilfiger,4.3,2599,30.0,1559.0,PVH███VIN███ASH█████████TE ███████████████,flip-flops,1040.0,1559.0
21497394,Puma,4.1,999,50.0,499.0,Omn███ch ███ail███,flip-flops,500.0,499.0
18521180,Reebok,4.5,1999,50.0,999.0,Tru███m R███il,flip-flops,1000.0,999.0
20124616,Duke,4.3,399,35.0,259.0,Duk███ash███s I█████████ted███,flip-flops,140.0,259.0
19790160,toothless,4.1,499,60.0,199.0,PUR███ UN███D S█████████ATE█████████,flip-flops,300.0,199.0
18598106,Ginger by Lifestyle,4.4,499,40.0,499.0,Unknown,flip-flops,0.0,499.0
16168398,Bata,4.1,599,25.0,449.0,Bat███ndi███imi█████████),flip-flops,150.0,449.0
13374286,Saral Home,4.7,1999,27.0,1459.0,SAR███HOM███ASY█████████RIV████████████,floor-mats--dhurries,540.0,1459.0
13374334,Saral Home,4.4,1999,27.0,1459.0,SAR███HOM███ASY█████████RIV████████████,floor-mats--dhurries,540.0,1459.0
21931392,Clarks,4.4,9999,40.0,5999.0,CLA███ RE███NCE█████████ PV██████,formal-shoes,4000.0,5999.0
21602846,SUGAR,4.2,899,0.0,899.0,VEL███TTE███FES█████████LTD███,foundation,0.0,899.0
14950128,YK,4.5,699,50.0,349.0,V P███WAL███SIE█████████Y,gloves,350.0,349.0
16721772,BodyHerbals,4.4,399,16.0,335.0,PUR███ART███NTE█████████,hair-brush-and-comb,64.0,335.0
18584192,7 DAYS,4.5,499,56.0,219.0,7 D███ OR███IC █████████,hair-cream-and-mask,280.0,219.0
18584190,7 DAYS,4.4,499,56.0,219.0,7 D███ OR███IC █████████,hair-masks,280.0,219.0
21421856,Baggit,4.4,1990,50.0,796.0,Sup███om ███,handbags,1194.0,796.0
21421918,Baggit,4.6,1890,46.0,1039.0,Sup███om ███,handbags,851.0,1039.0
16696848,Accessorize,4.6,4995,61.0,1648.0,Tru███m R███il,handbags,3347.0,1648.0
7743536,Lino Perros,4.5,4495,66.0,4495.0,Unknown,handbags,0.0,4495.0
7743355,Lino Perros,4.3,3495,60.0,3495.0,Unknown,handbags,0.0,3495.0
17637810,Toteteca,4.8,3099,63.0,3099.0,Unknown,handbags,0.0,3099.0
17761230,Caprese,4.1,3999,70.0,3999.0,Unknown,handbags,0.0,3999.0
15188034,Metro,4.3,1290,0.0,1290.0,MET███BRA███,handbags,0.0,1290.0
21762808,Baggit,4.6,1690,50.0,845.0,Bag███ In███ Pv██████,handbags,845.0,845.0
21421996,Baggit,4.5,1990,50.0,995.0,Bag███ In███ Pv██████,handbags,995.0,995.0
13359482,FLYING BERRY,4.9,2999,44.0,1679.0,Abh███Ove███as ██████,handbags,1320.0,1679.0
13389422,DailyObjects,4.3,2999,62.0,1139.0,Fir███Who███ale█████████,handbags,1860.0,1139.0
13389410,DailyObjects,4.2,2999,62.0,1139.0,Fir███Who███ale█████████Lim██████,handbags,1860.0,1139.0
19219056,BLAUPUNKT,4.5,5999,33.0,3999.0,Sup███om ███,headphones,2000.0,3999.0
13474452,Allen Solly,4.3,2299,50.0,2299.0,Unknown,heels,0.0,2299.0
17647418,FOOTONS,5.0,3199,55.0,3199.0,Unknown,heels,0.0,3199.0
22217088,DressBerry,4.1,1599,54.0,735.0,KIR███ENT███RIS███,heels,864.0,735.0
19217010,Inc 5,4.4,2690,0.0,2690.0,INC███SHO███PRI█████████TED███,heels,0.0,2690.0
16276014,Iris,4.5,700,15.0,595.0,N R███A R███AND█████████ LT███,home-fragrance-set,105.0,595.0
19014822,mothercare,4.6,3499,45.0,2624.0,Kap███s R███il █████████,jackets,875.0,2624.0
19015560,U.S. Polo Assn. Kids,4.5,2499,43.0,1424.0,ARV███ LI███TYL█████████LIM██████,jackets,1075.0,1424.0
19020502,U.S. Polo Assn.,4.4,6299,53.0,2960.0,ARV███ LI███TYL█████████LIM██████,jackets,3339.0,2960.0
